BPCOD,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_9,BP1_11,BP1_34
7,1,1,1,3,1,NA,NA,10000
2,9,1,1,4,1,NA,NA,20000
7,6,1,1,2,5,NA,NA,150
5,11,1,1,2,1,1,9,3000
3,10,1,1,3,2,NA,NA,1500
2,10,1,1,4,1,NA,NA,15000
3,1,1,1,4,2,NA,NA,0
2,4,1,1,4,1,NA,NA,600
6,6,1,1,4,2,NA,NA,3500
2,2,1,1,4,2,NA,NA,4800
2,8,1,1,2,1,NA,NA,2000
3,12,1,1,1,1,NA,NA,NA
3,3,1,1,4,1,NA,NA,0
3,99,1,1,4,2,NA,NA,3000
2,1,1,1,3,1,NA,NA,5000
3,2,1,1,3,2,NA,NA,500
6,3,1,1,1,1,NA,NA,3000
2,2,1,1,3,1,NA,NA,2000
7,3,1,1,1,9,NA,NA,NA
7,7,1,1,2,5,NA,NA,130
4,12,1,1,1,2,NA,NA,NA
2,6,1,1,4,1,NA,NA,3000
11,5,1,1,2,1,1,4,0
11,2,1,1,1,1,2,6,50000
9,7,1,1,2,3,2,8,NA
9,6,1,1,1,2,1,9,NA
9,6,1,1,3,2,1,9,0
9,6,1,1,1,2,2,8,0
3,4,1,1,3,2,NA,NA,NA
4,99,1,1,2,2,NA,NA,200
2,11,1,1,3,1,1,9,NA
5,8,1,1,3,1,2,5,10000
10,6,1,1,3,1,1,6,0
5,4,1,1,2,1,2,4,12500
7,2,1,1,2,8,NA,NA,NA
3,4,1,1,3,2,NA,NA,10000
7,8,1,1,2,4,NA,NA,15000
2,12,1,1,4,1,NA,NA,400
3,12,1,1,4,1,NA,NA,300
4,10,1,1,4,2,2,2,0
11,12,1,1,2,3,1,3,0
3,4,1,1,1,1,NA,NA,5000
9,5,1,1,2,4,3,4,4000
3,7,1,1,4,2,NA,NA,0
2,99,1,1,4,1,NA,NA,3000
9,9,1,1,1,8,1,4,NA
2,6,1,1,1,1,NA,NA,2000
3,12,1,1,4,1,NA,NA,650
3,6,1,1,3,4,NA,NA,1000
3,8,1,1,2,1,NA,NA,0
5,9,1,1,1,1,1,5,2500
13,10,1,1,1,3,1,7,0
2,10,1,1,3,1,NA,NA,10000
3,1,1,1,3,2,NA,NA,500
13,10,1,1,3,2,1,4,0
4,6,1,1,4,2,NA,NA,1500
4,8,1,1,4,2,NA,NA,8000
9,7,1,1,2,2,NA,NA,0
2,3,1,1,2,1,NA,NA,3000
2,1,1,1,2,4,NA,NA,10000
5,99,1,1,4,3,1,4,4000
9,12,1,1,1,2,9,9,NA
3,12,1,1,4,2,NA,NA,600
15,10,1,1,3,1,3,8,600
1,2,1,1,1,1,NA,NA,40000
3,2,1,1,3,2,NA,NA,NA
7,2,1,1,1,5,NA,NA,0
4,4,1,1,4,2,2,4,500
4,2,1,1,4,2,1,3,1800
9,4,1,1,2,1,1,6,0
9,9,1,1,3,1,1,4,0
10,9,1,1,1,3,1,4,NA
4,10,1,1,2,2,NA,NA,7000
3,99,1,1,2,2,NA,NA,0
10,1,1,1,2,1,1,5,2000
3,12,1,1,2,2,NA,NA,200
4,10,1,1,4,2,NA,NA,50000
9,6,1,1,1,3,1,5,0
5,4,1,1,3,5,3,4,15000
10,5,1,1,3,3,1,6,0
2,11,1,1,4,1,NA,NA,2000
5,9,1,1,3,1,4,3,1000
2,8,1,1,4,1,NA,NA,2000
3,2,1,1,3,2,NA,NA,500
10,6,1,1,1,1,1,5,0
2,4,1,1,2,1,NA,NA,6000
2,12,1,1,4,1,NA,NA,18000
3,5,1,1,4,1,NA,NA,25000
4,9,1,1,2,2,NA,NA,NA
3,99,1,1,9,2,NA,NA,2000
2,8,1,1,2,5,NA,NA,2000
3,3,1,1,4,1,NA,NA,0
3,6,1,1,3,1,NA,NA,0
10,6,1,1,3,1,1,9,0
3,11,1,1,3,2,NA,NA,500
10,1,1,1,1,1,1,6,0
3,99,1,1,1,1,NA,NA,NA
5,12,1,1,4,1,2,4,8500
3,2,1,1,4,1,NA,NA,0
3,1,1,1,4,1,NA,NA,2500
9,9,1,1,3,2,NA,NA,5000
5,4,1,1,3,1,1,3,4000
9,1,1,1,2,2,2,9,0
2,1,1,1,4,1,NA,NA,1500
2,2,1,1,2,1,NA,NA,10000
4,6,1,1,4,2,2,4,50000
13,7,1,1,2,1,1,6,0
3,1,1,1,2,1,NA,NA,NA
10,2,1,1,3,5,1,3,NA
13,11,1,1,1,1,1,3,NA
5,1,1,1,2,3,2,4,2000
3,1,1,1,4,2,NA,NA,500
5,11,1,1,4,1,2,3,5000
1,2,1,1,4,1,NA,NA,50000
9,99,1,1,2,2,NA,NA,NA
3,3,1,1,4,2,NA,NA,0
2,4,1,1,3,1,NA,NA,600
6,4,1,1,3,3,NA,NA,5000
3,7,1,1,4,1,NA,NA,9999999
3,12,1,1,1,1,NA,NA,0
11,5,1,1,4,2,6,2,0
9,3,1,1,3,2,3,5,NA
2,1,1,1,4,1,NA,NA,11000
4,1,1,1,2,2,NA,NA,2500
9,12,1,1,3,1,1,4,0
2,9,1,1,3,1,NA,NA,9999999
10,12,1,1,3,8,1,6,NA
3,99,1,1,4,2,NA,NA,3000
10,12,1,1,2,2,6,8,9999999
8,12,1,1,1,2,NA,NA,5000
2,4,1,1,2,1,NA,NA,9999999
8,3,1,1,2,5,NA,NA,1200
2,4,1,1,4,1,NA,NA,1400
2,1,1,1,1,1,NA,NA,1500
8,8,1,1,2,2,NA,NA,1500
3,12,1,1,4,2,NA,NA,3000
4,10,1,1,4,2,NA,NA,1000
3,3,1,1,3,2,NA,NA,500
3,9,1,1,9,2,NA,NA,2500
10,2,1,1,1,2,1,4,0
2,12,1,1,4,1,NA,NA,0
5,7,1,1,3,8,1,4,9999999
5,1,1,1,2,3,9,9,20000
2,4,1,1,4,1,NA,NA,2000
4,4,1,1,4,2,NA,NA,10000
8,1,1,1,2,5,NA,NA,300
9,11,1,1,2,7,1,5,NA
3,8,1,1,4,2,NA,NA,800
5,99,1,1,3,3,9,9,10000
4,10,1,1,4,2,NA,NA,5000
3,2,1,1,4,1,NA,NA,0
3,2,1,1,4,2,NA,NA,700
3,8,1,1,3,2,NA,NA,300
9,12,1,1,9,2,NA,NA,NA
3,5,1,1,4,2,NA,NA,1000
3,99,1,1,1,2,NA,NA,9999999
7,11,1,1,1,2,NA,NA,10000
4,11,1,1,4,2,3,3,9999999
10,2,1,1,2,2,1,4,40000
4,2,1,1,4,2,NA,NA,30000
8,1,1,1,1,1,NA,NA,5000
9,2,1,1,2,2,1,9,0
9,1,1,1,1,2,1,6,0
10,2,1,1,3,8,2,6,0
13,12,1,1,9,3,1,9,NA
13,12,1,1,9,3,1,9,NA
13,10,1,1,3,1,1,4,0
4,12,1,1,4,2,4,8,0
7,2,1,1,2,2,NA,NA,NA
9,6,1,1,9,2,1,9,NA
7,3,1,1,1,2,NA,NA,80000
3,12,1,1,4,1,NA,NA,200
2,10,1,1,4,1,NA,NA,3000
4,9,1,1,9,2,NA,NA,3000
2,4,1,1,4,1,NA,NA,1400
10,99,1,1,3,5,2,4,0
10,2,1,1,3,1,2,8,0
7,7,1,1,9,1,NA,NA,2600
10,9,1,1,1,1,1,3,0
9,9,1,1,1,3,1,5,0
2,12,1,1,4,2,NA,NA,30000
13,11,1,1,2,6,1,4,0
7,12,1,1,1,2,NA,NA,4000
8,99,1,1,9,2,NA,NA,6000
2,12,1,1,2,3,NA,NA,15000
2,12,1,1,3,1,NA,NA,1400
3,99,1,1,4,2,NA,NA,0
10,10,1,1,2,1,2,4,0
4,12,1,1,3,2,NA,NA,5000
4,1,1,1,9,2,NA,NA,10000
3,12,1,1,2,2,NA,NA,2000
2,6,1,1,2,1,NA,NA,5000
5,99,1,1,3,1,1,3,NA
2,1,1,1,4,2,NA,NA,4000
13,99,1,1,2,3,1,9,0
5,4,1,1,1,1,1,5,3500
8,4,1,1,2,2,NA,NA,200
7,6,1,1,3,4,NA,NA,20000
10,12,1,1,3,2,1,6,0
3,7,1,1,2,1,NA,NA,9999999
10,2,1,1,1,3,1,4,0
9,11,1,1,3,2,1,9,0
5,12,1,1,2,1,9,9,4000
8,7,1,1,1,1,NA,NA,3000
7,8,1,1,2,1,NA,NA,9999999
13,6,1,1,4,3,1,4,NA
4,4,1,1,1,2,NA,NA,NA
2,5,1,1,2,5,NA,NA,2000
10,11,1,1,2,1,1,4,0
2,11,1,1,4,2,NA,NA,3000
2,8,1,1,4,1,NA,NA,4000
1,8,1,1,3,1,NA,NA,100000
4,10,1,1,1,2,NA,NA,0
8,10,1,1,3,2,NA,NA,NA
3,2,1,1,4,1,NA,NA,NA
2,99,1,1,3,1,NA,NA,1000
9,99,1,1,1,2,NA,NA,NA
2,3,1,1,3,1,NA,NA,1000
13,4,1,1,3,1,2,9,0
3,99,1,1,4,2,NA,NA,NA
10,3,1,1,3,1,1,3,NA
3,1,1,1,4,2,NA,NA,200
13,12,1,1,9,3,1,9,NA
6,6,1,1,4,2,NA,NA,600
2,10,1,1,4,1,NA,NA,9999999
2,6,1,1,2,3,NA,NA,5000
1,3,1,1,2,3,NA,NA,160000
3,2,1,1,2,3,NA,NA,6000
10,1,1,1,2,5,1,4,0
11,11,1,1,3,5,1,4,0
3,99,1,1,1,2,NA,NA,9999999
13,12,1,1,1,3,1,9,NA
2,11,1,1,4,1,NA,NA,600
2,4,1,1,4,1,NA,NA,2000
3,12,1,1,3,1,NA,NA,2000
3,4,1,1,3,2,NA,NA,1200
2,11,1,1,1,2,NA,NA,9999999
3,12,1,1,4,2,NA,NA,NA
8,5,1,1,2,4,NA,NA,11000
5,1,1,1,2,1,1,5,0
4,9,1,1,2,2,1,9,7000
3,10,1,1,4,1,NA,NA,0
8,2,1,1,2,2,NA,NA,500
10,9,1,1,2,1,1,4,0
2,4,1,1,4,1,NA,NA,4000
10,4,1,1,2,1,2,8,0
2,6,1,1,2,1,NA,NA,9999999
4,2,1,1,1,2,NA,NA,10000
3,99,1,1,4,2,NA,NA,1200
11,11,1,1,2,1,2,5,2800
2,5,1,1,3,1,NA,NA,30000
2,11,1,1,4,1,NA,NA,9000
8,10,1,1,2,5,NA,NA,4000
7,11,1,1,2,5,NA,NA,300
3,5,1,1,9,4,NA,NA,8000
3,2,1,1,3,2,NA,NA,200
8,6,1,1,3,1,NA,NA,NA
2,1,1,1,4,2,NA,NA,3500
10,12,1,1,2,3,1,3,0
3,11,1,1,3,2,NA,NA,NA
6,3,1,1,1,3,NA,NA,NA
10,2,1,1,3,1,1,6,0
4,4,1,1,2,2,NA,NA,10000
9,12,1,1,2,3,3,9,NA
4,12,1,1,4,2,1,9,0
